Date,Open,High,Low,Close,Adj Close,Volume
2019-08-16,216.660004,222.240005,216.020004,219.940002,219.940002,5098500
2019-08-19,224.210007,227.830002,221.699997,226.830002,226.830002,5309600
2019-08-20,227.619995,229.089996,224.539993,225.860001,225.860001,4125200
2019-08-21,222.009995,223.220001,217.600006,220.830002,220.830002,7794300
2019-08-22,222.800003,225.399994,218.220001,222.149994,222.149994,6559000
2019-08-23,219.970001,221.169998,211.000000,211.399994,211.399994,8538600
2019-08-26,213.600006,215.020004,211.539993,215.000000,215.000000,5051900
2019-08-27,215.740005,218.800003,212.029999,214.080002,214.080002,5416200
2019-08-28,213.690002,217.250000,212.309998,215.589996,215.589996,3225500
2019-08-29,219.000000,223.399994,218.000000,221.710007,221.710007,5179500
2019-08-30,229.149994,232.440002,224.210007,225.610001,225.610001,9320600
2019-09-03,224.080002,228.949997,223.160004,225.009995,225.009995,5354100
2019-09-04,226.889999,228.460007,219.210007,220.679993,220.679993,5761000
2019-09-05,222.500000,229.800003,220.850006,229.580002,229.580002,7395300
2019-09-06,227.199997,229.639999,225.169998,227.449997,227.449997,4189400
2019-09-09,230.000000,233.759995,229.229996,231.789993,231.789993,4802700
2019-09-10,230.800003,235.539993,228.940002,235.539993,235.539993,4883700
2019-09-11,237.380005,248.169998,236.000000,247.100006,247.100006,10042800
2019-09-12,247.699997,253.500000,244.399994,245.869995,245.869995,8581200
2019-09-13,246.960007,248.449997,244.869995,245.199997,245.199997,5313100
2019-09-16,246.000000,247.429993,241.169998,242.809998,242.809998,4728100
2019-09-17,242.470001,245.600006,240.369995,244.789993,244.789993,3865400
2019-09-18,245.000000,248.169998,242.369995,243.490005,243.490005,4170200
2019-09-19,246.000000,247.940002,244.839996,246.600006,246.600006,4795800
2019-09-20,246.490005,246.949997,238.160004,240.619995,240.619995,6353000
2019-09-23,240.000000,245.179993,239.220001,241.229996,241.229996,4340200
2019-09-24,241.520004,241.990005,222.610001,223.210007,223.210007,12891500
2019-09-25,224.559998,228.979996,218.360001,228.699997,228.699997,9427100
2019-09-26,230.660004,243.309998,227.399994,242.559998,242.559998,11884500
2019-09-27,242.199997,248.710007,238.729996,242.130005,242.130005,11116400
2019-09-30,243.000000,243.979996,236.110001,240.869995,240.869995,5879800
2019-10-01,241.500000,245.949997,239.130005,244.690002,244.690002,6162600
2019-10-02,243.289993,244.649994,239.429993,243.130005,243.130005,5631400
2019-10-03,231.860001,234.479996,224.279999,233.029999,233.029999,15084500
2019-10-04,231.610001,234.779999,228.070007,231.429993,231.429993,7995000
2019-10-07,229.800003,238.559998,228.550003,237.720001,237.720001,8064200
2019-10-08,235.869995,243.940002,234.500000,240.050003,240.050003,8678200
2019-10-09,241.320007,247.300003,240.649994,244.529999,244.529999,6894400
2019-10-10,245.279999,249.279999,241.580002,244.740005,244.740005,6283300
2019-10-11,247.149994,251.080002,246.809998,247.889999,247.889999,8475400
2019-10-14,247.899994,258.549988,247.130005,256.959991,256.959991,10205000
2019-10-15,257.700012,260.000000,254.119995,257.890015,257.890015,6432800
2019-10-16,257.390015,262.100006,256.920013,259.750000,259.750000,6684100
2019-10-17,262.500000,264.779999,260.170013,261.970001,261.970001,4769300
2019-10-18,260.700012,262.799988,255.100006,256.950012,256.950012,5749800
2019-10-21,258.329987,259.500000,250.179993,253.500000,253.500000,5020300
2019-10-22,254.320007,258.329987,250.850006,255.580002,255.580002,4600800
2019-10-23,254.500000,256.140015,251.350006,254.679993,254.679993,5261100
2019-10-24,298.369995,304.929993,289.200012,299.679993,299.679993,29720900
