date,asset,stock_ret,SPY,sector
2018-02-15,LUV,0.007794962167728903,0.012759949414286265,Airlines
2018-02-15,MSFT,0.020372130571216562,0.012759949414286265,Tech
2018-02-15,TSLA,0.036486642842926686,0.012759949414286265,Auto
2018-02-15,XOM,-0.003269752662442227,0.012759949414286265,Oil
2018-02-16,AAPL,-0.0032372475112344423,0.0002930070164568477,Tech
2018-02-16,CVX,-0.003465643269627172,0.0002930070164568477,Oil
2018-02-16,DAL,-0.0018887454175258167,0.0002930070164568477,Airlines
2018-02-16,GM,-0.01816011427956099,0.0002930070164568477,Auto
2018-02-16,GS,-0.00022409910279752587,0.0002930070164568477,Banks
2018-02-16,JPM,-0.007185607690458395,0.0002930070164568477,Banks
2018-02-16,LUV,0.001546988094166979,0.0002930070164568477,Airlines
2018-02-16,MSFT,-0.007122768153373427,0.0002930070164568477,Tech
2018-02-16,TSLA,0.004250554910720128,0.0002930070164568477,Auto
2018-02-16,XOM,0.004330259670759284,0.0002930070164568477,Oil
2018-02-20,AAPL,-0.0033635993273898324,-0.006261058536765507,Tech
2018-02-20,CVX,-0.010344224014665282,-0.006261058536765507,Oil
2018-02-20,DAL,-0.007190110198973976,-0.006261058536765507,Airlines
2018-02-20,GM,-0.007787479935532748,-0.006261058536765507,Auto
2018-02-20,GS,-0.010200914968863328,-0.006261058536765507,Banks
2018-02-20,JPM,0.0002616428374555557,-0.006261058536765507,Banks
2018-02-20,LUV,-0.009267322359038044,-0.006261058536765507,Airlines
2018-02-20,MSFT,0.007826074514058812,-0.006261058536765507,Tech
2018-02-20,TSLA,-0.002146118339328429,-0.006261058536765507,Auto
2018-02-20,XOM,-0.010321291410372524,-0.006261058536765507,Oil
2018-02-21,AAPL,-0.004538892116961346,-0.004974232975421988,Tech
2018-02-21,CVX,-0.017300550978396556,-0.004974232975421988,Oil
2018-02-21,DAL,0.013150325016062725,-0.004974232975421988,Airlines
2018-02-21,GM,-0.005150868963233135,-0.004974232975421988,Auto
2018-02-21,GS,-0.0056250397872862345,-0.004974232975421988,Banks
2018-02-21,JPM,0.004184473732018024,-0.004974232975421988,Banks
2018-02-21,LUV,0.005196618789198748,-0.004974232975421988,Airlines
2018-02-21,MSFT,-0.013265941489070454,-0.004974232975421988,Tech
2018-02-21,TSLA,-0.0043910782595362186,-0.004974232975421988,Auto
2018-02-21,XOM,-0.0113531533968656,-0.004974232975421988,Oil
2018-02-22,AAPL,0.008359182484872996,0.0012959179887332972,Tech
2018-02-22,CVX,0.0076106071732782166,0.0012959179887332972,Oil
2018-02-22,DAL,-0.0057704441821681,0.0012959179887332972,Airlines
2018-02-22,GM,0.00862888543795437,0.0012959179887332972,Auto
2018-02-22,GS,-0.0074790870768414175,0.0012959179887332972,Banks
2018-02-22,JPM,-0.0018231053952030285,0.0012959179887332972,Banks
2018-02-22,LUV,-0.012234932393319964,0.0012959179887332972,Airlines
2018-02-22,MSFT,0.0026234636509543385,0.0012959179887332972,Tech
2018-02-22,TSLA,0.03861393971235283,0.0012959179887332972,Auto
2018-02-22,XOM,0.01295215664849958,0.0012959179887332972,Oil
2018-02-23,AAPL,0.01739122249426961,0.015939335009816258,Tech
2018-02-23,CVX,0.024570035438680415,0.015939335009816258,Oil
2018-02-23,DAL,0.01731684807838696,0.015939335009816258,Airlines
2018-02-23,GM,0.0,0.015939335009816258,Auto
2018-02-23,GS,0.020426100850609696,0.015939335009816258,Banks
2018-02-23,JPM,0.020264379101766483,0.015939335009816258,Banks
2018-02-23,LUV,0.011688591460758735,0.015939335009816258,Airlines
2018-02-23,MSFT,0.0254005783862159,0.015939335009816258,Tech
2018-02-23,TSLA,0.016985799281143965,0.015939335009816258,Auto
2018-02-23,XOM,0.022014446493638484,0.015939335009816258,Oil
2018-02-26,AAPL,0.019771970637846525,0.011612363416434679,Tech
2018-02-26,CVX,0.017852336223750598,0.011612363416434679,Oil
2018-02-26,DAL,0.02300799769661288,0.011612363416434679,Airlines
2018-02-26,GM,0.015399935584913038,0.011612363416434679,Auto
2018-02-26,GS,0.016830911501915846,0.011612363416434679,Banks
2018-02-26,JPM,0.012445758632140924,0.011612363416434679,Banks
2018-02-26,LUV,0.026039072208601688,0.011612363416434679,Airlines
2018-02-26,MSFT,0.014458731170244654,0.011612363416434679,Tech
2018-02-26,TSLA,0.015253588470293122,0.011612363416434679,Auto
2018-02-26,XOM,0.016896555396075374,0.011612363416434679,Oil
2018-02-27,AAPL,-0.0032405094333107787,-0.01248644443097946,Tech
2018-02-27,CVX,-0.008638810979460398,-0.01248644443097946,Oil
2018-02-27,DAL,-0.019564963095996868,-0.01248644443097946,Airlines
2018-02-27,GM,-0.0329803737990787,-0.01248644443097946,Auto
2018-02-27,GS,-0.01227609348964831,-0.01248644443097946,Banks
2018-02-27,JPM,-0.01187173424524779,-0.01248644443097946,Banks
2018-02-27,LUV,-0.017142915175298867,-0.01248644443097946,Airlines
2018-02-27,MSFT,-0.012785324906162576,-0.01248644443097946,Tech
2018-02-27,TSLA,-0.017990103944359737,-0.01248644443097946,Auto
2018-02-27,XOM,-0.01699642364461973,-0.01248644443097946,Oil
2018-02-28,AAPL,-0.0015135543845621324,-0.010130253110513299,Tech
2018-02-28,CVX,-0.01487534558807313,-0.010130253110513299,Oil
2018-02-28,DAL,0.005222049593723188,-0.010130253110513299,Airlines
2018-02-28,GM,-0.020413267852564587,-0.010130253110513299,Auto
2018-02-28,GS,-0.01590668947286289,-0.010130253110513299,Banks
2018-02-28,JPM,-0.0158486854390969,-0.010130253110513299,Banks
2018-02-28,LUV,-0.010943923830268654,-0.010130253110513299,Airlines
2018-02-28,MSFT,-0.004564858547208339,-0.010130253110513299,Tech
2018-02-28,TSLA,-0.022593216035836083,-0.010130253110513299,Auto
2018-02-28,XOM,-0.022709626893889223,-0.010130253110513299,Oil
2018-03-01,AAPL,-0.01751656241943156,-0.014540760229741823,Tech
2018-03-01,CVX,0.0010722731096608484,-0.014540760229741823,Oil
2018-03-01,DAL,-0.010204235402245354,-0.014540760229741823,Airlines
2018-03-01,GM,-0.03964418852792717,-0.014540760229741823,Auto
2018-03-01,GS,-0.023390377470203894,-0.014540760229741823,Banks
2018-03-01,JPM,-0.017921981143859456,-0.014540760229741823,Banks
2018-03-01,LUV,0.0029391073932543144,-0.014540760229741823,Airlines
2018-03-01,MSFT,-0.009811229394262044,-0.014540760229741823,Tech
2018-03-01,TSLA,-0.03535826085564153,-0.014540760229741823,Auto
2018-03-01,XOM,-0.007129703041867441,-0.014540760229741823,Oil
2018-03-02,AAPL,0.00691451392109399,0.005155214597115876,Tech
2018-03-02,CVX,-0.0035702656297675883,0.005155214597115876,Oil
2018-03-02,DAL,-0.0016868600977129056,0.005155214597115876,Airlines
2018-03-02,GM,-0.009526373356122608,0.005155214597115876,Auto
2018-03-02,GS,0.005218616668388076,0.005155214597115876,Banks
2018-03-02,JPM,-0.0009698324281467441,0.005155214597115876,Banks
2018-03-02,LUV,-0.0034475329904671836,0.005155214597115876,Airlines
2018-03-02,MSFT,0.0021540131271529095,0.005155214597115876,Tech
2018-03-02,TSLA,0.012661295543288098,0.005155214597115876,Auto
2018-03-02,XOM,0.004654445876407731,0.005155214597115876,Oil
2018-03-05,AAPL,0.003461876504366357,0.011557662979085226,Tech
2018-03-05,CVX,0.013525653946765415,0.011557662979085226,Oil
2018-03-05,DAL,0.009951179516913822,0.011557662979085226,Airlines
2018-03-05,GM,0.008282202239119574,0.011557662979085226,Auto
2018-03-05,GS,0.019370727233892104,0.011557662979085226,Banks
2018-03-05,JPM,0.01535465166975003,0.011557662979085226,Banks
2018-03-05,LUV,0.009859890834498897,0.011557662979085226,Airlines
2018-03-05,MSFT,0.00634064692947911,0.011557662979085226,Tech
2018-03-05,TSLA,-0.00528165743453457,0.011557662979085226,Auto
2018-03-05,XOM,0.009529869875313901,0.011557662979085226,Oil
2018-03-06,AAPL,-0.0008484187857893399,0.0025351170458423056,Tech
2018-03-06,CVX,0.00441897798421742,0.0025351170458423056,Oil
2018-03-06,DAL,0.0009294868991609473,0.0025351170458423056,Airlines
2018-03-06,GM,0.005034506109357517,0.0025351170458423056,Auto
2018-03-06,GS,0.014480091320704602,0.0025351170458423056,Banks
2018-03-06,JPM,0.0008691433740053434,0.0025351170458423056,Banks
2018-03-06,LUV,-8.596300136287649e-05,0.0025351170458423056,Airlines
2018-03-06,MSFT,-0.0034174124894152946,0.0025351170458423056,Tech
2018-03-06,TSLA,-0.01544920894612234,0.0025351170458423056,Auto
2018-03-06,XOM,-0.0011799885966339296,0.0025351170458423056,Oil
2018-03-07,AAPL,-0.009282797712035662,-0.0003663720869283571,Tech
2018-03-07,CVX,0.0016717191635695627,-0.0003663720869283571,Oil
2018-03-07,DAL,-0.0057578556423975025,-0.0003663720869283571,Airlines
2018-03-07,GM,-0.005009286824237402,-0.0003663720869283571,Auto
2018-03-07,GS,-0.0059191451036670895,-0.0003663720869283571,Banks
2018-03-07,JPM,-0.0037338926046340815,-0.0003663720869283571,Banks
2018-03-07,LUV,-0.011673824704422131,-0.0003663720869283571,Airlines
2018-03-07,MSFT,0.0057865111546018255,-0.0003663720869283571,Tech
2018-03-07,TSLA,0.012492307841083239,-0.0003663720869283571,Auto
2018-03-07,XOM,-0.02520339949806072,-0.0003663720869283571,Oil
2018-03-08,AAPL,0.010912385137409997,0.004839104527427418,Tech
2018-03-08,CVX,-0.00430428976421271,0.004839104527427418,Oil
2018-03-08,DAL,0.020736127571067797,0.004839104527427418,Airlines
2018-03-08,GM,0.012847945064555999,0.004839104527427418,Auto
2018-03-08,GS,0.0037309243786822766,0.004839104527427418,Banks
2018-03-08,JPM,8.720015006735693e-05,0.004839104527427418,Banks
2018-03-08,LUV,0.013896108427214893,0.004839104527427418,Airlines
2018-03-08,MSFT,0.006072946067088969,0.004839104527427418,Tech
2018-03-08,TSLA,-0.009629797794175055,0.004839104527427418,Auto
