date,value
2021-09-30,23.14
2021-10-31,16.26
2021-11-30,27.19
2021-12-31,17.22
2022-01-31,24.83
2022-02-28,30.15
2022-03-31,20.56
2022-04-30,33.40
2022-05-31,26.19
2022-06-30,28.71
2022-07-31,21.33
2022-08-31,25.87
2022-09-30,31.99
